airport_id	FAA_CODE	icao_code	iata_code	LATITUDE_DEGREES	LONGITUDE_DEGREES
10720	35FA	NULL	NULL	29.467942	-82.158761
10721	II82	NULL	NULL	39.794212	-86.577779
10722	TE83	NULL	NULL	28.9208	-99.75615
10723	29VA	NULL	NULL	38.529291	-77.738881
10724	72TE	NULL	NULL	28.879072	-99.992474
10725	0TE5	NULL	NULL	27.433794	-99.185939
10726	8TS3	NULL	NULL	31.390179	-95.473282
10727	TE12	NULL	NULL	29.300239	-98.18362
10728	TN16	NULL	NULL	35.994507	-88.461163
10729	TE32	NULL	NULL	27.308634	-99.481431
10730	3FL1	NULL	NULL	28.4525	-82.207778
10731	IA56	NULL	NULL	41.780543	-93.379376
10732	II08	NULL	NULL	40.660871	-87.439744
10733	IA87	NULL	NULL	41.657488	-93.821058
10734	IA49	NULL	NULL	43.144972	-92.053502
10735	9FD7	NULL	NULL	30.196225	-83.309044
10736	72IN	NULL	NULL	41.178461	-87.318
10737	TN12	NULL	NULL	35.473611	-86.68
10738	3TS0	NULL	NULL	32.508481	-94.700209
10739	T26	NULL	NULL	29.108278	-96.398778
10740	FL75	NULL	NULL	27.541981	-80.833116
10741	8CA8	NULL	NULL	38.067357	-121.207596
10742	8N1	NULL	NULL	40.484814	-76.263562
10743	8XS8	NULL	NULL	33.590278	-102.036667
10744	N13	NULL	NULL	40.997651	-76.435246
10745	TN87	NULL	NULL	35.692582	-83.998793
10746	47FD	NULL	NULL	26.662849	-81.770639
10747	FD10	NULL	NULL	27.7897	-81.653167
10748	1FA9	NULL	NULL	27.785	-81.651111
10749	5TX8	NULL	NULL	33.032075	-94.37936
10750	7T0	NULL	NULL	33.593611	-97.218889
10751	76TX	NULL	NULL	33.147342	-96.97584
10752	TN44	NULL	NULL	36.346667	-84.012222
10753	44TS	NULL	NULL	30.577686	-98.833654
10754	97CA	NULL	NULL	34.989136	-118.914544
10755	1FD4	NULL	NULL	26.445357	-81.607303
10756	FD35	NULL	NULL	30.490473	-85.839378
10757	NLC	KNLC	NULL	36.333127	-119.952162
10758	5FL4	NULL	NULL	29.800801	-81.500913
10759	32CA	NULL	NULL	36.333284	-119.825135
10760	6FD7	NULL	NULL	27.544204	-82.530096
10761	TN96	NULL	NULL	36.041172	-86.358325
10762	5XS7	NULL	NULL	34.229736	-101.463736
10763	7N8	NULL	NULL	40.398153	-75.56435
10764	1TN0	NULL	NULL	36.246389	-86.302778
10765	XA45	NULL	NULL	33.021167	-95.930833
10766	CA10	NULL	NULL	41.617092	-122.319182
10767	FA09	NULL	NULL	29.340806	-82.263708
10768	93IA	NULL	NULL	42.260278	-93.649722
10769	18CL	NULL	NULL	39.286001	-121.694138
10770	4FL3	NULL	NULL	27.741696	-80.666168
10771	X55	NULL	NULL	28.843333	-81.630083
10772	6FD6	NULL	NULL	28.904989	-81.433123
10773	46CN	NULL	NULL	34.484717	-117.826453
10774	05FA	NULL	NULL	30.918889	-86.218333
10775	3G9	NULL	NULL	40.852564	-79.97478
10776	TN65	NULL	NULL	35.666389	-86.485278
10777	8N4	NULL	NULL	41.214929	-75.246903
10778	4TN3	NULL	NULL	35.118333	-89.367778
10779	PA54	NULL	NULL	41.522307	-75.396014
10780	TN43	NULL	NULL	35.095925	-90.113982
10781	PA45	NULL	NULL	41.418933	-76.926628
10782	94FL	NULL	NULL	26.732846	-81.897308
10783	FL59	NULL	NULL	26.643405	-81.71036
10784	1FA3	NULL	NULL	26.656184	-82.121203
10785	FD30	NULL	NULL	27.411429	-80.526166
10786	9W8	NULL	NULL	39.852324	-76.486353
10787	41TN	NULL	NULL	35.900833	-86.207222
10788	2TN4	NULL	NULL	35.318056	-90.035278
10789	3TN6	NULL	NULL	35.096755	-89.280626
10790	6II4	NULL	NULL	37.982222	-87.298889
10791	0I2	NULL	NULL	39.476736	-87.099709
10792	4II9	NULL	NULL	40.609203	-86.880845
10793	VA73	NULL	NULL	37.244595	-77.494153
10794	VA58	NULL	NULL	38.906111	-78.444444
10795	54II	NULL	NULL	40.624484	-86.155271
10796	IS02	NULL	NULL	40.778368	-87.791701
10797	VA42	NULL	NULL	38.35846	-77.452206
10798	8IL3	NULL	NULL	41.738056	-89.1625
10799	HFS	PHHF	NULL	23.86405	-166.284633
10800	HI01	NULL	NULL	22.20919	-159.445534
10801	PAK	PHPA	NULL	21.896944	-159.603167
10802	VA46	NULL	NULL	39.296212	-78.362228
10803	92VA	NULL	NULL	37.344722	-76.564444
10804	VA63	NULL	NULL	37.679578	-79.420314
10805	75LL	NULL	NULL	41.083648	-89.758157
10806	5LL8	NULL	NULL	41.112254	-88.140052
10807	55LL	NULL	NULL	42.154191	-88.511476
10808	25IL	NULL	NULL	39.516446	-89.869674
10809	FAF	KFAF	NULL	37.132601	-76.60893
10810	56LL	NULL	NULL	41.755029	-88.771193
10811	6LL8	NULL	NULL	40.792258	-87.725311
10812	6F7	NULL	NULL	32.827	-94.354528
10813	0TE7	NULL	NULL	30.251813	-98.622531
10814	2XS1	NULL	NULL	30.218878	-98.30274
10815	VA08	NULL	NULL	37.717079	-76.358835
10816	VA57	NULL	NULL	38.248462	-77.219145
10817	40TA	NULL	NULL	31.312956	-96.220521
10818	8TX0	NULL	NULL	31.42962	-96.130243
10819	VG01	NULL	NULL	37.062372	-78.561694
10820	IN27	NULL	NULL	40.179204	-86.115823
10821	4IN7	NULL	NULL	40.30087	-87.229176
10822	FA69	NULL	NULL	26.587848	-80.637279
10823	9FL5	NULL	NULL	29.814121	-82.925682
10824	9II4	NULL	NULL	40.1725	-85.944722
10825	37FL	NULL	NULL	29.718569	-82.844567
10826	86FD	NULL	NULL	29.764722	-82.896389
10827	HI33	NULL	NULL	21.942421	-159.440261
10828	TE45	NULL	NULL	32.469862	-97.465298
10829	VA61	NULL	NULL	39.263991	-77.657213
10830	TS21	NULL	NULL	33.084833	-101.114833
10831	3TX2	NULL	NULL	33.080678	-97.348908
10832	52TE	NULL	NULL	30.516854	-99.517003
10833	18TA	NULL	NULL	30.136314	-99.743674
10834	4C7	NULL	NULL	42.547444	-93.033417
10835	2FA2	NULL	NULL	29.018869	-82.113701
10836	8FL3	NULL	NULL	29.073036	-81.999531
