airport_id	FAA_CODE	icao_code	iata_code	LATITUDE_DEGREES	LONGITUDE_DEGREES	COUNTRY_CODE	SUBDIVISION_CODE
23858	NK55	NULL	NULL	43.085067	-76.287068	USA	NY
23859	12ND	NULL	NULL	48.295503	-101.42749	USA	ND
23860	13KY	NULL	NULL	37.705603	-87.156109	USA	KY
23861	7NK9	NULL	NULL	42.915556	-78.880278	USA	NY
23862	61KY	NULL	NULL	38.550068	-84.76328	USA	KY
23863	E66	NULL	NULL	42.717083	-84.061944	USA	MI
23864	MS01	NULL	NULL	33.750112	-90.750097	USA	MS
23865	56NK	NULL	NULL	42.900775	-78.865872	USA	NY
23866	5KY0	NULL	NULL	37.9	-84.577778	USA	KY
23867	01MI	NULL	NULL	43.049471	-83.679679	USA	MI
23868	MS94	NULL	NULL	34.178442	-90.551765	USA	MS
23869	1NA8	NULL	NULL	46.690542	-100.095386	USA	ND
23870	MI98	NULL	NULL	46.201405	-84.741722	USA	MI
23871	MI60	NULL	NULL	44.591389	-85.310833	USA	MI
23872	78KY	NULL	NULL	38.541734	-84.840226	USA	KY
23873	0KY0	NULL	NULL	38.622778	-84.778889	USA	KY
23874	5MS3	NULL	NULL	31.175	-89.803056	USA	MS
23875	WS35	NULL	NULL	44.186229	-88.454513	USA	WI
23876	2WI7	NULL	NULL	42.96972	-89.6654	USA	WI
23877	WI24	NULL	NULL	42.881111	-89.752222	USA	WI
23878	13D	NULL	NULL	42.629167	-83.683083	USA	MI
23879	00KY	NULL	NULL	37.409444	-84.619722	USA	KY
23880	10KT	NULL	NULL	38.709889	-84.915167	USA	KY
23881	36KY	NULL	NULL	37.655622	-85.153848	USA	KY
23882	3MI6	NULL	NULL	42.656975	-83.650222	USA	MI
23883	1MI4	NULL	NULL	43.421917	-84.194767	USA	MI
23884	3KY3	NULL	NULL	38.038333	-85.359444	USA	KY
23885	5MI8	NULL	NULL	42.6717	-84.488308	USA	MI
23886	7KY3	NULL	NULL	38.076111	-85.236667	USA	KY
23887	8KY7	NULL	NULL	37.541992	-84.653136	USA	KY
23888	MI49	NULL	NULL	41.911158	-84.633566	USA	MI
23889	56WI	NULL	NULL	44.773439	-89.593731	USA	WI
23890	37WI	NULL	NULL	42.991108	-89.753456	USA	WI
23891	WS82	NULL	NULL	45.126667	-88.443333	USA	WI
23892	WI12	NULL	NULL	44.016817	-89.202517	USA	WI
23893	9WI4	NULL	NULL	42.978624	-88.134812	USA	WI
23894	4KY7	NULL	NULL	38.823333	-84.684722	USA	KY
23895	20KY	NULL	NULL	38.816944	-84.671111	USA	KY
23896	33KY	NULL	NULL	37.61227	-87.05694	USA	KY
23897	MI27	NULL	NULL	42.612532	-83.854115	USA	MI
23898	1KY3	NULL	NULL	36.698113	-85.676361	USA	KY
23899	4KY5	NULL	NULL	38.028611	-85.89	USA	KY
23900	51KY	NULL	NULL	37.114175	-82.812733	USA	KY
23901	MI36	NULL	NULL	42.609167	-83.813889	USA	MI
23902	4Y1	NULL	NULL	42.565194	-83.856292	USA	MI
23903	0WI7	NULL	NULL	44.133596	-88.499278	USA	WI
23904	WI16	NULL	NULL	42.853053	-90.129722	USA	WI
23905	WI33	NULL	NULL	46.103554	-91.902406	USA	WI
